233, 155.30, -159.09
234, 134.62, -142.36
235, 155.30, -155.30
236, 159.09, -159.09
237, 142.36, -142.36
238, 159.09, -162.88
239, 159.09, -159.09
240, 162.88, -159.09
241, 145.83, -145.83
242, 162.88, -162.88
243, 162.88, -162.88
244, 162.88, -162.88
245, 152.78, -149.31
246, 162.88, -162.88
247, 166.67, -162.88
248, 166.67, -166.67
249, 152.78, -152.78
250, 166.67, -152.78
251, 170.45, -166.67
252, 144.23, -152.78
253, 166.67, -166.67
254, 170.45, -166.67
255, 170.45, -166.67
256, 159.72, -156.25
257, 170.45, -170.45
258, 174.24, -170.45
259, 174.24, -170.45
260, 159.72, -156.25
261, 170.45, -174.24
262, 174.24, -174.24
263, 174.24, -174.24
264, 159.72, -159.72
265, 178.03, -159.72
266, 174.24, -178.03
267, 150.64, -159.72
268, 178.03, -174.24
269, 181.82, -178.03
270, 178.03, -178.03
271, 166.67, -163.19
272, 178.03, -178.03
273, 178.03, -181.82
274, 181.82, -181.82
275, 166.67, -166.67
276, 181.82, -181.82
277, 185.61, -181.82
278, 181.82, -181.82
279, 170.14, -166.67
280, 185.61, -181.82
281, 185.61, -170.14
282, 173.61, -181.82
283, 170.14, -166.67
284, 189.39, -185.61
285, 189.39, -181.82
286, 173.61, -170.14
287, 189.39, -185.61
288, 193.18, -185.61
289, 189.39, -185.61
290, 177.08, -170.14
291, 189.39, -189.39
292, 193.18, -189.39
293, 193.18, -185.61
294, 177.08, -177.08
295, 196.97, -170.14
296, 177.08, -189.39
297, 196.97, -193.18
298, 180.56, -173.61
299, 193.18, -193.18
300, 196.97, -189.39
301, 180.56, -177.08
302, 200.76, -193.18
303, 196.97, -193.18
304, 196.97, -193.18
305, 180.56, -177.08
306, 200.76, -193.18
307, 196.97, -196.97
308, 196.97, -177.08
309, 184.03, -177.08
310, 180.56, -193.18
311, 196.97, -196.97
312, 200.76, -193.18
313, 180.56, -177.08
314, 196.97, -193.18
315, 200.76, -193.18
316, 180.56, -177.08
317, 196.97, -193.18
318, 200.76, -193.18
319, 196.97, -193.18
320, 180.56, -180.56
321, 200.76, -193.18
322, 196.97, -177.08
323, 196.97, -193.18
324, 169.87, -177.08
325, 196.97, -193.18
326, 196.97, -196.97
327, 200.76, -193.18
328, 180.56, -177.08
329, 196.97, -193.18
330, 200.76, -196.97
331, 196.97, -193.18
332, 180.56, -177.08
333, 200.76, -193.18
334, 196.97, -193.18
335, 180.56, -177.08
336, 200.76, -180.56
337, 180.56, -193.18
338, 200.76, -193.18
339, 180.56, -177.08
340, 196.97, -196.97
341, 196.97, -193.18
342, 200.76, -193.18
343, 180.56, -177.08
344, 200.76, -196.97
345, 196.97, -193.18
346, 196.97, -193.18
347, 184.03, -177.08
348, 196.97, -196.97
349, 200.76, -177.08
350, 166.67, -177.08
351, 196.97, -196.97
352, 196.97, -193.18
353, 200.76, -193.18
354, 180.56, -180.56
355, 196.97, -193.18
356, 200.76, -193.18
357, 196.97, -193.18
358, 180.56, -180.56
359, 200.76, -193.18
360, 196.97, -193.18
361, 196.97, -193.18
362, 184.03, -166.67
363, 184.03, -193.18
364, 196.97, -193.18
365, 180.56, -177.08
366, 200.76, -193.18
367, 196.97, -196.97
368, 200.76, -193.18
369, 184.03, -177.08
370, 196.97, -193.18
371, 200.76, -196.97
372, 196.97, -193.18
373, 180.56, -177.08
374, 200.76, -196.97
375, 196.97, -177.08
376, 196.97, -193.18
377, 169.87, -177.08
378, 196.97, -196.97
379, 200.76, -193.18
380, 180.56, -177.08
381, 196.97, -193.18
382, 200.76, -196.97
383, 196.97, -193.18
384, 180.56, -177.08
385, 200.76, -196.97
386, 196.97, -193.18
387, 200.76, -193.18
388, 180.56, -163.46
389, 200.76, -196.97
390, 180.56, -193.18
391, 200.76, -193.18
392, 184.03, -177.08
393, 196.97, -193.18
394, 200.76, -196.97
395, 180.56, -177.08
396, 200.76, -193.18
397, 200.76, -193.18
398, 200.76, -193.18
399, 180.56, -180.56
400, 200.76, -193.18
